title,handle,created,product_type,price,sku,available,image
Precision Xtra Diabetes Management System Ketons and Glucose- 1 ea,precision-xtra-diabetes-management-system-ketons-and-glucose,2018-04-10T07:17:50-05:00,"Diabetics, Glucose Meters",34.97,C2923589,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C2923589-M1924943-2.jpg?v=1523362670
Nova  Max Plus Glucose & Ketone Meter Kit,nova-max-plus-glucose-ketone-meter-kit,2018-04-10T07:03:38-05:00,"Diabetics, Glucose Meters",15.97,CD4314431,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4314431-2.jpg?v=1523361818
GE GE100 Blood Glucose Monitoring System Auto Coding - 1 system,ge-ge100-blood-glucose-monitoring-system-auto-coding-1-system,2018-04-09T14:52:03-05:00,"Diabetics, Glucose Meters",12.13,CD4584470,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4584470-2.jpg?v=1523314735
TRUEtrack Blood Glucose Meter Kit,truetrack-blood-glucose-meter-kit,2018-04-10T07:46:16-05:00,"Diabetics, Glucose Meters",15.27,C3522653,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C3522653-M1733997-2.jpg?v=1523364376
One Touch   Ultra 2 Blood Glucose Monitoring System,onetouch-ultra-2-blood-glucose-monitoring-system,2018-04-10T07:09:39-05:00,"Diabetics, Glucose Meters",38.27,C3714037,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C3714037-M2185874-2.jpg?v=1523362180
FreeStyle  Freedom Lite Blood Glucose Monitor Kit,freestyle-freedom-lite-blood-glucose-monitor-kit,2018-04-09T14:48:53-05:00,"Diabetics, Glucose Meters",19.92,C4043279,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C4043279-M1839562-2.jpg?v=1523314528
Accu-Chek Performa Blood Glucose Meter - 1 ea,accu-chek-performa-blood-glucose-meter-1-ea,2018-04-09T13:54:25-05:00,"Diabetics, Glucose Meters",49.97,C5034574,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C5034574-M3402666-2.jpg?v=1523311005
TRUEbalance Blood Glucose Monitoring System - 1 ea,truebalance-blood-glucose-monitoring-system-1-ea,2018-04-10T07:45:47-05:00,"Diabetics, Glucose Meters",15.07,CD4354833,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4354833-2.jpg?v=1523364347
FreeStyle  Lite Blood Glucose Monitoring Kit,freestyle-lite-blood-glucose-monitoring-kit,2018-04-09T14:48:53-05:00,"Diabetics, Glucose Meters",19.47,C3986239,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C3986239-M1700137-2.jpg?v=1523314528
Prodigy Pocket Kit Blue Meter,prodigy-pocket-kit-blue-meter,2018-04-10T07:18:58-05:00,"Diabetics, Glucose Meters",10.87,CD4264057,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4264057-2.jpg?v=1523362738
One Touch Verio IQ Blood Glucose Monitoring System 1 ea,one-touch-verio-iq-blood-glucose-monitoring-system-1-ea,2018-04-10T07:09:36-05:00,"Diabetics, Glucose Meters",28.77,C4542825,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C4542825-M2182228-2.jpg?v=1523362177
Omnis Health Embrace Blood Glucose Meter with On Off Audible Feature,omnis-health-embrace-blood-glucose-meter-with-on-off-audible-feature,2018-04-10T07:08:32-05:00,"Diabetics, Glucose Meters",7.47,CD4756185,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4756185-2.jpg?v=1523362112
Arkray Glucocard Expression Blood Glucose Meter Kit - 1 ea,arkray-glucocard-expression-blood-glucose-meter-kit-1-ea,2018-04-09T14:04:01-05:00,"Diabetics, Glucose Meters",20.47,CD4779625,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4779625-2.jpg?v=1523311608
Accu-Chek Guide Blood Glucose Monitoring System,accu-chek-guide-blood-glucose-monitoring-system,2021-03-08T08:33:58-06:00,"Arthritis, Diabetics, Glucose Meters",31.68,C5427703,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/71nYlsOwieL._AC_SL1500.jpg?v=1615214040
Leader Blood Glucose TRUEtrack Smart Syst-(Compare to One Touch Ultra),leader-blood-glucose-truetrack-smart-syst-compare-to-one-touch-ultra,2018-04-10T06:25:23-05:00,"Diabetics, Glucose Meters",18.47,C3468212,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C3468212-M1134436-2.jpg?v=1523359523
Wavesense Presto Pro Kt Tst Si Ej,wavesense-presto-pro-kt-tst-si-ej,2018-04-10T07:52:10-05:00,"Diabetics, Glucose Meters",18.47,CD4431425,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4431425-2.jpg?v=1523364730
TRUE Metrix Self Monitoring Glucose Meter - 1 ea,true-metrix-self-monitoring-glucose-meter-1-ea,2018-04-10T07:45:46-05:00,"Diabetics, Glucose Meters",20.07,C5032594,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C5032594-M3303716-2.jpg?v=1523364346
Prodigy Voice Audible Blood Glucose Monitoring System - 1 ea,prodigy-voice-audible-blood-glucose-monitoring-system-1-ea,2018-04-10T07:18:59-05:00,"Diabetics, Glucose Meters",68.67,C4264024,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C4264024-M2172054-2.jpg?v=1523362739
One Touch Verio Blood Glucose Monitoring System 1 ea,one-touch-verio-blood-glucose-monitoring-system-1-ea,2018-04-10T07:09:36-05:00,"Diabetics, Glucose Meters",31.07,C5034327,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C5034327-M3410610-2.jpg?v=1523362176
"One Touch UltraMini Glucose Monitoring System, Silver Moon - 1 ea",onetouch-ultramini-glucose-monitoring-system-silver-moon-1-ea,2018-04-10T07:09:48-05:00,"Diabetics, Glucose Meters",18.77,C3739570,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C3739570-M1455278-2.jpg?v=1523362188
Leader True Metrix Self Monitoring Blood Glucose Meter Kit - 1 ea,leader-true-metrix-self-monitoring-blood-glucose-meter-kit-1-ea,2018-04-22T16:56:32-05:00,"Diabetics, Glucose Meters",22.77,C5052337,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/M3303716-C5052337-2_fb977157-2177-4873-9587-9c6895293a1b.jpg?v=1524577084
FreeStyle Precision Neo Blood Glucose Meter 1 ea,freestyle-precision-neo-blood-glucose-meter-1-ea,2018-04-09T14:49:00-05:00,"Diabetics, Glucose Meters",28.67,C5057716,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C5057716-M3422078-2.jpg?v=1523314535
Fora V30A Blood Glucose Monitor Kit - 1 ea,fora-v30a-blood-glucose-monitor-kit-1-ea,2018-04-09T14:48:24-05:00,"Diabetics, Glucose Meters",25.87,CD4785317,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4785317-2.jpg?v=1523314496
Fora G30a Blood Glucose Meter - 1 ea,fora-g30a-blood-glucose-meter-1-ea,2018-04-09T14:48:20-05:00,"Diabetics, Glucose Meters",16.17,CD4943890,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4943890-2.jpg?v=1523314493
Easy Touch No Coding Glucose Monitoring System - 1 ea,easy-touch-no-coding-glucose-monitoring-system-1-ea,2018-04-09T14:40:19-05:00,"Diabetics, Glucose Meters",19.97,CD4568978,True,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4568978-2.jpg?v=1523313981
Bionime GE100 Blood Glucose 2 Met +400(50X8) STRIP,bionime-ge100-blood-glucose-2-met-40050x8-strip,2018-04-09T14:13:16-05:00,"Diabetics, Glucose Meters",70.87,CD4872305,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4872305-2.jpg?v=1523312214
"AgaMatrix, powered by WaveSense Presto, System Kit with Meter - 1 kit",agamatrix-powered-by-wavesense-presto-system-kit-with-meter-1-kit,2018-04-09T13:58:17-05:00,"Diabetics, Glucose Meters",20.07,CD4079646,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/CD4079646-2.jpg?v=1523311244
Accu-Chek Aviva Nano - Blood Glucose Menter Kit - 1 ea,accu-chek-aviva-nano-blood-glucose-menter-kit-1-ea,2018-04-09T13:54:16-05:00,"Arthritis, Diabetics, Glucose Meters",29.97,C4562039,False,https://cdn.shopify.com/s/files/1/0013/2408/9380/products/C4562039-M2155158-2.jpg?v=1523310997
